x;y;clip;entropia;nombre;dominado;nrocorrida;ssim;id
2;23;109.180443105111;7.98618219911029;1000_IM-0003-1001;N;8;0.553813181503453;8123
2;25;0.471743159275137;6.88641900082369;1000_IM-0003-1001;N;8;0.989524537845939;8124
2;2;0.43298574350478;6.8531925085905;1000_IM-0003-1001;N;8;0.991079580692503;8125
2;4;0;7.97209801905558;1000_IM-0003-1001;N;8;0.64248797143906;8126
2;12;0;7.98592088168809;1000_IM-0003-1001;N;8;0.581581455418554;8127
2;7;128;7.9828511619824;1000_IM-0003-1001;N;8;0.61236061042438;8128
2;25;4.75599335994974;7.85129101647868;1000_IM-0003-1001;S;8;0.701895064422644;8129
2;6;128;7.98106651170226;1000_IM-0003-1001;N;8;0.619182978244237;8130
157;2;1.6710214292148;7.1292818497725;1000_IM-0003-1001;S;8;0.913114162596265;8131
2;2;8.17290970274039;7.90999727755238;1000_IM-0003-1001;S;8;0.688369070115816;8132
2;7;0.663033361412424;6.95482339065203;1000_IM-0003-1001;S;8;0.980539830285124;8133
11;2;2.59005947467625;7.38605215151172;1000_IM-0003-1001;S;8;0.85722378428909;8134
2;2;3.61816696966474;7.74444874325319;1000_IM-0003-1001;S;8;0.764912635260538;8135
2;20;3.25509967167743;7.69653739183161;1000_IM-0003-1001;S;8;0.787646398370644;8136
2;2;2.59929068259937;7.61447556688851;1000_IM-0003-1001;S;8;0.83765996027964;8137
2;3;0;7.96902166400668;1000_IM-0003-1001;N;8;0.645809809509489;8138
2;6;0.235105847585075;6.76823333813026;1000_IM-0003-1001;N;8;0.996267916292895;8139
2;8;64;7.98562392537181;1000_IM-0003-1001;N;8;0.605856204872044;8140
7;6;1.41567224427493;6.98055621181544;1000_IM-0003-1001;S;8;0.935610269002306;8141
2;2;0;7.90943591537923;1000_IM-0003-1001;S;2;0.684564241971412;8142
2;7;35.5285796196543;7.9828511619824;1000_IM-0003-1001;N;2;0.61236061042438;8143
3;2;0.0217145475391476;6.64885510646291;1000_IM-0003-1001;S;2;0.999862387148777;8144
2;129;1.42574687546423;7.22326404424886;1000_IM-0003-1001;S;2;0.925536862740186;8145
12;2;3.5610676154627;7.53513467869696;1000_IM-0003-1001;S;2;0.788719141217417;8146
3;2;0;7.93671536544217;1000_IM-0003-1001;S;2;0.650731299590916;8147
2;256;4.72036213172404;7.79989950633613;1000_IM-0003-1001;S;2;0.695678117190815;8148
4;2;0.673351678592162;6.91833318000979;1000_IM-0003-1001;S;2;0.981772469667097;8149
2;10;0;7.98494600489086;1000_IM-0003-1001;S;2;0.595100941494401;8150
3;3;0.397505833802434;6.7533452897948;1000_IM-0003-1001;S;2;0.992152484785318;8151
9;2;1.77400010140428;7.25400829443883;1000_IM-0003-1001;S;2;0.91332284525001;8152
2;26;0;7.98588663620264;1000_IM-0003-1001;S;2;0.545439483203644;8153
2;3;0;7.96902166400668;1000_IM-0003-1001;N;2;0.645809809509489;8154
2;129;0.455527630062903;6.84802138303917;1000_IM-0003-1001;S;2;0.983487207406702;8155
6;256;1.40821517560047;6.98202199014016;1000_IM-0003-1001;S;2;0.934085745435322;8156
2;15;0;7.9857720524844;1000_IM-0003-1001;S;2;0.5720058897768;8157
3;256;0.192218536264988;6.94703583171726;1000_IM-0003-1001;S;2;0.971354363263788;8158
2;5;128;7.97694065885707;1000_IM-0003-1001;N;2;0.635914858267615;8159
2;256;2.1710371162278;7.42667206703825;1000_IM-0003-1001;S;2;0.865622336103861;8160
2;6;124.4596850081;7.98106651170226;1000_IM-0003-1001;N;2;0.619182978244237;8161
2;11;0;7.98567884008192;1000_IM-0003-1001;N;2;0.588747114486885;8162
2;9;0;7.98490246593749;1000_IM-0003-1001;S;2;0.601272001966115;8163
2;2;0.403070453082961;6.83925890055257;1000_IM-0003-1001;S;2;0.992131566634784;8164
2;91;3.88590118647075;7.7256693818506;1000_IM-0003-1001;S;2;0.749090906216178;8165
2;185;1.4812947001061;7.23194863323707;1000_IM-0003-1001;S;1;0.930244882518682;8166
2;185;0.444784322152728;6.89873595445162;1000_IM-0003-1001;N;1;0.989439944935909;8167
2;238;3.35743802564492;7.65432184494858;1000_IM-0003-1001;S;1;0.772003027098552;8168
2;2;8.06912553139206;7.90808290662848;1000_IM-0003-1001;S;1;0.688587393262657;8169
2;4;13.1125094012669;7.97107300152768;1000_IM-0003-1001;N;1;0.643211158051786;8170
7;2;2.23990467834122;7.38786193979872;1000_IM-0003-1001;S;1;0.879559128419108;8171
2;129;2.58782264626305;7.48905724372335;1000_IM-0003-1001;S;1;0.846939761613612;8172
2;23;0;7.98618219911029;1000_IM-0003-1001;N;1;0.553813181503453;8173
3;2;128;7.93671536544217;1000_IM-0003-1001;S;1;0.650731299590916;8174
2;2;8.78632806851527;7.91046978766642;1000_IM-0003-1001;S;1;0.686040096806046;8175
10;2;2.57405203390458;7.40444583393781;1000_IM-0003-1001;S;1;0.856994142588706;8176
