x;y;clip;entropia;nombre;dominado;nrocorrida;ssim;id
9;2;56,3711023493447;7,85859246874808;3715982_IJMPO-34-47-g001;N;3;0,329097824934034;11365
14;2;79,3552454977105;7,87471947455449;3715982_IJMPO-34-47-g001;N;3;0,303088072186912;11368
2;4;0,721123143184059;5,72305804876847;3715982_IJMPO-34-47-g001;N;3;0,985406318405812;11378
25;2;6,24617613587642;7,13726796277527;3715982_IJMPO-34-47-g001;N;3;0,696612189999218;11384
21;2;6,11667273206089;7,12604592165459;3715982_IJMPO-34-47-g001;N;3;0,701500279716248;11385
39;2;2,62930650868314;6,55953958088381;3715982_IJMPO-34-47-g001;N;3;0,878634048728446;11388
2;6;1,61415067098837;6,21366363869207;3715982_IJMPO-34-47-g001;N;3;0,941450040005852;11389
5;2;0,0284741827137225;4,98693839068241;3715982_IJMPO-34-47-g001;N;3;0,999566211606837;11398
10;2;7,06297754669794;7,20025037383651;3715982_IJMPO-34-47-g001;N;3;0,668594450396594;11400
30;2;2,18332992305549;6,44156295535771;3715982_IJMPO-34-47-g001;N;4;0,904040731395722;11406
21;2;128;7,88597794902212;3715982_IJMPO-34-47-g001;N;4;0,281990728998946;11408
10;2;64;7,86669329327902;3715982_IJMPO-34-47-g001;N;4;0,318488975275391;11423
22;2;1,1902994562557;6,08495506067012;3715982_IJMPO-34-47-g001;N;4;0,959879672527196;11426
28;2;15,7866583948067;7,6129993684762;3715982_IJMPO-34-47-g001;N;4;0,482567276534821;11432
14;2;2,20378460932398;6,44605509709891;3715982_IJMPO-34-47-g001;N;4;0,903929940829933;11433
25;2;0;7,89529881660061;3715982_IJMPO-34-47-g001;N;4;0,277208191009817;11441
2;4;0,532980597098884;5,60720912847367;3715982_IJMPO-34-47-g001;N;4;0,991185277113065;11446
6;2;1,04432779711424;5,9900206582875;3715982_IJMPO-34-47-g001;N;4;0,970310865740667;11450
2;16;2,11802728707188;6,35615907661179;3715982_IJMPO-34-47-g001;N;1;0,914824105318378;11460
18;2;1,62544468905909;6,25370512061883;3715982_IJMPO-34-47-g001;N;1;0,936396272250673;11466
14;2;42,4704009508491;7,83179069162998;3715982_IJMPO-34-47-g001;N;1;0,356555103974673;11468
56;2;14,9455564183449;7,58365637372882;3715982_IJMPO-34-47-g001;N;1;0,489984933324128;11472
26;2;2,80507142489051;6,62650115663472;3715982_IJMPO-34-47-g001;N;1;0,866313317086141;11475
14;2;0;7,89433536090172;3715982_IJMPO-34-47-g001;N;1;0,280604466340518;11480
47;2;13,608445693306;7,53715864578651;3715982_IJMPO-34-47-g001;N;1;0,509307169088206;11482
7;2;0,872468327577558;5,88263802725171;3715982_IJMPO-34-47-g001;N;1;0,977528956155033;11486
40;2;8,79350139848031;7,31146104815857;3715982_IJMPO-34-47-g001;N;1;0,612142532342146;11487
10;2;74,0987928790898;7,87196131947401;3715982_IJMPO-34-47-g001;N;6;0,307706946381652;11491
23;2;4,14456785723944;6,87568945709417;3715982_IJMPO-34-47-g001;N;6;0,793404978870178;11499
14;2;0;7,89433536090172;3715982_IJMPO-34-47-g001;N;6;0,280604466340518;11501
22;2;3,24644697061382;6,7005533014197;3715982_IJMPO-34-47-g001;N;6;0,842533229312864;11504
2;6;1,26326546503243;6,06456582912847;3715982_IJMPO-34-47-g001;N;6;0,960609653957714;11506
38;2;9,28116558321632;7,34256948578111;3715982_IJMPO-34-47-g001;N;6;0,598785514714927;11517
16;2;128;7,88515393709149;3715982_IJMPO-34-47-g001;N;6;0,283054684214226;11520
10;2;2,26220850963527;6,44988946302647;3715982_IJMPO-34-47-g001;N;7;0,901273726844874;11544
2;3;0,15095358425976;5,2747411688075;3715982_IJMPO-34-47-g001;N;7;0,998594502781493;11548
7;2;0,81861948819499;5,87096244248279;3715982_IJMPO-34-47-g001;N;7;0,979415656517751;11550
